id,title,vote_average,release_date,revenue,runtime,popularity,vote_count
842675,The Wandering Earth II,7.238,2023-01-22,604380922,173,80.892,357
906221,Magic Mike's Last Dance,6.8,2023-02-09,52000000,112,27.894,355
736769,They Cloned Tyrone,6.775,2023-06-14,0,122,32.841,355
717980,Sharper,7.069,2023-02-10,0,115,18.429,349
820609,No One Will Save You,6.897,2023-09-22,0,93,961.212,345
1077280,Die Hart,5.975,2023-02-22,0,85,45.106,340
849869,Kill Boksoon,6.925,2023-02-17,0,137,29.383,313
1067282,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,7.384,2023-02-03,0,115,64.911,310
943930,Tin & Tina,6.012,2023-03-24,0,119,46.44,302
921785,Mixed by Erry,7.518,2023-03-02,0,113,14.274,299
1063422,The Strays,5.507,2023-02-17,0,100,24.48,296
1071806,Hunger,7.361,2023-04-04,0,145,18.151,285
736790,Chupa,6.5,2023-04-07,0,98,39.307,284
296271,The Devil Conspiracy,6.404,2023-01-13,0,111,80.758,282
1098110,Blood & Gold,6.688,2023-04-21,0,100,38.687,268
881462,Still Time,6.592,2023-03-16,0,108,13.082,260
762430,Retribution,6.816,2023-08-23,12905464,91,1547.22,258
967585,Alibi.com 2,6.715,2023-02-08,0,88,24.63,256
772515,Huesera: The Bone Woman,5.825,2023-02-10,0,93,50.513,255
926393,The Equalizer 3,6.914,2023-08-30,158300000,109,359.237,251
1087040,Money Shot: The Pornhub Story,5.752,2023-03-15,0,95,42.976,248
999644,You Are So Not Invited to My Bat Mitzvah,6.338,2023-08-18,0,103,76.836,247
740441,Unlocked,7.481,2023-02-17,0,117,16.87,242
1000492,All Your Faces,8.208,2023-03-29,0,115,15.439,236
844417,Marlowe,6.0,2023-02-15,6262663,109,19.999,232
977506,The Crime Is Mine,6.59,2023-03-08,9693463,102,28.686,229
978870,Last Night of Amore,7.252,2023-03-09,0,124,9.606,224
616747,Haunted Mansion,6.8,2023-07-26,91000000,123,86.751,217
1085218,Darkland: The Return,6.766,2023-04-13,0,110,324.959,216
842544,Transfusion,6.116,2023-01-05,0,105,44.205,207
620705,Crater,6.7,2023-05-12,0,104,84.004,207
1006462,The Flood,6.836,2023-07-14,0,93,307.949,206
813477,Shin Kamen Rider,7.02,2023-03-17,14768529,121,156.758,204
353577,Love at First Sight,7.403,2023-09-15,0,91,114.871,200
933419,Champions,6.985,2023-03-09,9263009,124,22.704,198
842945,Supercell,6.008,2023-03-17,0,100,50.371,198
1149381,Soulcatcher,6.531,2023-08-02,0,99,180.94,196
1151534,Nowhere,7.895,2023-09-29,0,109,142.468,195
812225,Black Clover: Sword of the Wizard King,8.146,2023-06-16,0,113,114.67,195
1075335,Little Bone Lodge,7.477,2023-03-11,0,93,77.902,194
915935,Anatomy of a Fall,7.891,2023-08-23,0,151,20.119,193
666277,Past Lives,7.847,2023-06-02,6000000,106,46.659,193
958196,Inside,5.789,2023-03-09,170000,105,25.495,192
